"DEPARTAMENTO","PROVINCIA","DISTRITO","COD_VAL","NOMBRE_ESTACION_VAL","METODOLOGÍA","FECHA","CONCENTRACIÓN (µg/m³)","AÑO"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","19/4/2002","20.55","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","20/4/2002","13.26","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","21/4/2002","8.88","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","22/4/2002","9.43","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","24/4/2002","18.15","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","19/4/2002","35.92","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","20/4/2002","39.17","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","21/4/2002","32.52","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","22/4/2002","57.65","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","24/4/2002","31.70","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","25/4/2002","38.57","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","19/4/2002","27.80","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","20/4/2002","32.56","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","21/4/2002","33.65","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","22/4/2002","33.17","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","23/4/2002","28.09","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","24/4/2002","30.30","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","25/4/2002","39.79","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","19/4/2002","19.11","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","20/4/2002","23.19","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","21/4/2002","10.39","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","22/4/2002","24.55","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","23/4/2002","27.03","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","24/4/2002","27.01","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","25/4/2002","16.62","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","11/11/2003","16.70","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","12/11/2003","16.20","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","13/11/2003","13.40","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","14/11/2003","14.70","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","15/11/2003","21.10","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","16/11/2003","59.10","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","17/11/2003","41.70","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","11/11/2003","65.30","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","12/11/2003","25.30","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","13/11/2003","41.10","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","14/11/2003","65.70","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","15/11/2003","46.60","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","16/11/2003","9.70","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","17/11/2003","20.60","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","11/11/2003","28.20","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","12/11/2003","26.30","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","13/11/2003","36.20","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","14/11/2003","36.50","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","15/11/2003","62.10","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","16/11/2003","78.10","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","17/11/2003","18.90","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Método de Referencia Activo de la EPA)","12/11/2003","9.80","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Método de Referencia Activo de la EPA)","13/11/2003","28.30","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Método de Referencia Activo de la EPA)","14/11/2003","11.40","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Método de Referencia Activo de la EPA)","15/11/2003","31.30","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Método de Referencia Activo de la EPA)","16/11/2003","85.70","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Método de Referencia Activo de la EPA)","17/11/2003","25.10","2003"