ANP;SECTOR;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;PROCEDENCIA;EDAD;FECHA;VISITAS_E1;VISITAS_E2A3;VISITAS_E3A30;FECHA_CORTE
RN Sistema de Islas; Islotes y Puntas Guaneras;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;140203;NACIONAL;ADULTO;31/08/2023;13;0;0;27/05/2024
RN Sistema de Islas; Islotes y Puntas Guaneras;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;140203;NACIONAL;MENOR;31/08/2023;1;0;0;27/05/2024
RVS Laquipampa;Lajas;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;ADULTO;28/02/2023;70;0;0;27/05/2024
RVS Laquipampa;Lajas;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;ADULTO;31/07/2023;8;0;0;27/05/2024
RVS Laquipampa;Lajas;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;ADULTO;31/08/2023;53;0;0;27/05/2024
RVS Laquipampa;Lajas;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;MENOR;28/02/2023;1;0;0;27/05/2024
RVS Laquipampa;Lajas;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;MENOR;31/07/2023;1;0;0;27/05/2024
RVS Laquipampa;Lajas;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;MENOR;31/08/2023;4;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;EXTRANJERO;ADULTO;31/03/2023;1;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;EXTRANJERO;ADULTO;31/08/2023;3;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;ADULTO;31/01/2023;13;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;ADULTO;31/03/2023;6;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;ADULTO;31/07/2023;3;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;ADULTO;31/08/2023;8;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;MENOR;31/01/2023;1;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;MENOR;31/07/2023;1;0;0;27/05/2024
RVS Laquipampa;Shambo;LAMBAYEQUE;FERRENAFE;INCAHUASI;140203;NACIONAL;MENOR;31/08/2023;3;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/01/2022;31;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;28/02/2022;29;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/03/2022;27;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;30/04/2022;33;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/05/2022;41;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;30/06/2022;26;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/07/2022;52;2;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/08/2022;66;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;30/09/2022;31;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/10/2022;42;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;30/11/2022;39;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/12/2022;18;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/01/2023;45;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;28/02/2023;19;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/03/2023;2;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/07/2023;1;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/08/2023;42;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;30/09/2023;13;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;31/10/2023;19;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;ADULTO;30/11/2023;44;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;31/01/2022;3;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;28/02/2022;1;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;31/07/2022;1;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;31/08/2022;2;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;31/12/2022;1;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;31/01/2023;1;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;28/02/2023;1;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;31/08/2023;2;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;EXTRANJERO;MENOR;30/11/2023;1;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/01/2022;517;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;28/02/2022;386;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/03/2022;268;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;30/04/2022;598;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/05/2022;341;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;30/06/2022;372;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/07/2022;658;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/08/2022;481;1;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;30/09/2022;508;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/10/2022;450;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;30/11/2022;350;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/12/2022;298;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/01/2023;467;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;28/02/2023;303;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/03/2023;47;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/07/2023;199;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/08/2023;460;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;30/09/2023;789;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;31/10/2023;371;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO;30/11/2023;313;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/01/2022;41;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;28/02/2022;33;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/03/2022;26;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;30/04/2022;36;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/05/2022;32;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;30/06/2022;27;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/07/2022;48;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/08/2022;40;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;30/09/2022;30;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/10/2022;41;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;30/11/2022;7;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/12/2022;10;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/01/2023;37;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;28/02/2023;45;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/03/2023;6;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/07/2023;13;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/08/2023;25;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;30/09/2023;22;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;31/10/2023;16;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;ADULTO MAYOR;30/11/2023;25;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/01/2022;43;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;28/02/2022;31;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/03/2022;5;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/04/2022;44;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/05/2022;29;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/06/2022;43;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/07/2022;67;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/08/2022;48;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/09/2022;58;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/10/2022;35;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;30/11/2022;4;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/12/2022;22;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/01/2023;34;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;28/02/2023;25;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/03/2023;10;0;0;27/05/2024
SH Bosque de Pomac;Santuario Historico;LAMBAYEQUE;FERRENAFE;PITIPO;140205;LOCAL;INFANTE;31/07/2023;25;0;0;27/05/2024
